Date,Close,High,Low,Open,Volume
04/01/2010,23.17335129,23.28566126,22.9038062,22.92626877,38409100
05/01/2010,23.18083954,23.28566343,22.94124452,23.09847964,49749600
06/01/2010,23.0385704,23.27067779,22.8513867,23.12093026,58182400
07/01/2010,22.79897499,22.98615869,22.60430377,22.93374605,50559700
08/01/2010,22.956213,23.12093417,22.64174427,22.67169435,51197400
11/01/2010,22.66420555,23.03108548,22.5518956,22.99364788,68754700
12/01/2010,22.5144558,22.76153823,22.39465834,22.57435452,65912100
13/01/2010,22.72409821,22.85138316,22.4695283,22.65671197,51863500
14/01/2010,23.18083954,23.28566343,22.65672579,22.69416198,63228100
15/01/2010,23.10596275,23.39048143,22.99365136,23.27068394,79913200
19/01/2010,23.28565216,23.39047457,22.97118349,23.0235947,46575700
20/01/2010,22.90380478,23.16586233,22.69415846,23.06852597,54849500
21/01/2010,22.46953201,23.00113305,22.46204449,22.91877319,73086700
22/01/2010,21.68336296,22.61179553,21.59351557,22.46204798,102004600
25/01/2010,21.95290184,22.20747176,21.78818072,21.89300312,63373000
26/01/2010,22.08767891,22.3497364,21.78069772,21.86305902,66639900
27/01/2010,22.21496391,22.32727386,21.72828653,21.97536898,63949500
28/01/2010,21.83312225,22.36472508,21.63096337,22.34226251,117513700
29/01/2010,21.09934425,22.40214247,20.71000186,22.38716743,193888500
01/02/2010,21.27155876,21.32396998,20.90467883,21.25658372,85931100
02/02/2010,21.30899048,21.33894055,21.06939558,21.24160566,54413700
03/02/2010,21.43627548,21.55607436,21.05442201,21.15924442,61397900
04/02/2010,20.84478188,21.33894685,20.82231931,21.24909802,77850000
05/02/2010,20.9795475,21.1742187,20.6426163,20.96457246,80960100
08/02/2010,20.75492859,21.02447358,20.64261865,20.97206237,52820600
09/02/2010,20.97206306,21.2191455,20.77739183,20.94211299,59195800
10/02/2010,20.95708656,21.14427026,20.84477663,20.98703664,48591300
11/02/2010,21.05442047,21.26406527,20.73995184,20.91216048,65993700
12/02/2010,20.91216469,21.00949959,20.6501072,20.82231588,81117200
16/02/2010,21.32588959,21.34093465,21.07765178,21.16039676,51935600
17/02/2010,21.50642395,21.5515577,21.33341004,21.4612902,45882900
18/02/2010,21.79227829,21.83741349,21.44625039,21.50642922,42856500
19/02/2010,21.64183044,21.75466556,21.58165162,21.65687551,44451800
22/02/2010,21.61174393,21.76971426,21.55156509,21.69449036,36707100
